entity_id,trip_id,route_id,vehicle_id,latitude,longitude,current_stop_id,current_stop_name,current_stop_sequence,current_status,route_type,timestamp,current_stop_lat,current_stop_lon
136,11312_10853,Z13,2499,51.73072052001953,19.475229263305664,81,Rzgowska-Bankowa,27,2,autobus,1764788362,51.72916,19.47632
137,11312_6496,75B,2551,51.73128128051758,19.479089736938477,2861,Kilińskiego-Dw. Łódź Chojny,26,2,autobus,1764788350,51.72784,19.48022
138,11312_4599,62,2554,51.71535110473633,19.4327392578125,221,Pabianicka-Dubois,7,2,autobus,1764788354,51.71548,19.43407
139,11312_3547,55A,2555,51.74137878417969,19.406410217285156,704,Maratońska-Dw. Łódź Retkinia,8,1,autobus,1764788362,51.74132,19.40638
140,11312_5219,68,2556,51.70051956176758,19.429180145263672,3503,Farna-Albańska NŻ,15,0,autobus,1764788358,51.7003,19.43025
141,11312_3596,55A,2558,51.749019622802734,19.45005989074707,3613,Politechniki-park im. Klepacza NŻ,22,0,autobus,1764788360,51.74817,19.45026
142,11312_10781,Z,2559,51.79603958129883,19.54581069946289,769,Narutowicza-pl. Dąbrowskiego,13,1,autobus,1764788362,51.77194,19.46998
143,11312_5843,70,2594,51.77537155151367,19.482500076293945,486,Kopcińskiego-Rondo Solidarności,20,2,autobus,1764788358,51.77798,19.48185
144,11312_6058,72A,2595,51.75188064575195,19.57427978515625,1695,Hetmańska-Juranda ze Spychowa,2,2,autobus,1764788356,51.74958,19.57309
145,11312_10873,Z13,2598,51.7724494934082,19.476200103759766,766,Narutowicza-Tramwajowa,16,1,autobus,1764788360,51.77239,19.47599
146,11312_5942,71A,2901,51.7093391418457,19.488819122314453,2446,Kolumny-Rzgowska NŻ,6,2,autobus,1764788362,51.70929,19.48907
147,11312_6747,77,2903,51.7559814453125,19.423730850219727,562,Bandurskiego-Wileńska,10,2,autobus,1764788356,51.75389,19.4212
148,11312_6702,77,2908,51.75157165527344,19.44658088684082,1103,Radwańska-Politechniki (kampus PŁ),9,2,autobus,1764788360,51.75166,19.44791
149,11312_4705,63,2937,51.72283935546875,19.433069229125977,1682,Pokładowa-Świętojańska NŻ,18,2,autobus,1764788362,51.71871,19.43126
150,11312_7731,82B,2945,51.73712158203125,19.588380813598633,1487,Zakładowa-Tranzytowa NŻ,17,2,autobus,1764788360,51.73693,19.59063
151,11312_3613,55A,2946,51.75199890136719,19.451419830322266,1563,Politechniki-Radwańska (kampus PŁ),21,2,autobus,1764788362,51.75146,19.44934
152,11312_6104,72A,2949,51.77619171142578,19.399009704589844,553,Krakowska-Biegunowa,9,2,autobus,1764788364,51.77537,19.39866
153,11312_5745,70,2980,51.722389221191406,19.482919692993164,1184,Rzgowska-cm. Rzgowska,25,2,autobus,1764788356,51.72048,19.48402
154,11312_3705,57,2982,51.746009826660156,19.431379318237305,807,Nowe Sady-zajezdnia NOWE SADY,10,0,autobus,1764788276,51.74605,19.43138
